param_index,log_prob,snowline_rmse_m,snowline_mae_m,snowline_bias_m,snowline_n_years,snowline_passed,area_rmse_km2,area_mae_km2,area_bias_km2,area_n_checkpoints,area_passed,passed_both,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,internal_lapse
292,-667.0019991173157,94.73892181622618,71.2282485974057,29.285320759895647,22,False,,,,0,False,False,6.94898885585729,-0.0038677050340728165,0.001988435018808796,0.003976870037617592,0.0004995915952986882,1.8195323798297145,0.005877252520746578,-0.005
293,-667.0024296937862,95.93958679491158,72.08558759341574,31.593149888148204,22,False,,,,0,False,False,6.9385010254155555,-0.0037212470716544333,0.00180322622195607,0.00360645244391214,0.0005605181816036215,1.77472634256625,0.0007916899191044019,-0.005
294,-667.0051999659181,89.44065219665194,67.50385691760606,27.606303656255363,22,False,,,,0,False,False,7.070300073005003,-0.004092125874714525,0.001895452033305614,0.003790904066611228,0.0006134937562876453,1.6896664704244182,0.0015262622299829672,-0.005
295,-667.0053469509022,95.15627428211536,71.43779360554743,30.752291303352436,22,False,,,,0,False,False,7.023850515573492,-0.0038251111412313976,0.001709790670611992,0.003419581341223984,0.0005369794219807911,1.7930013243273195,0.0027555901862975057,-0.005
296,-667.005669709334,91.61292512180202,68.92484652488808,30.254707224721752,22,False,,,,0,False,False,7.039820317103315,-0.0038306246472208116,0.001524436076006472,0.003048872152012944,0.0007051921827809976,1.6335150522719217,0.0027141963931807556,-0.005
297,-667.0078678671981,93.33126195907762,70.1590216035034,28.765941868393682,22,False,,,,0,False,False,7.019958233764735,-0.003879188390575117,0.001864015599773873,0.003728031199547746,0.0005711823538053647,1.7657171735931585,0.005146332861871644,-0.005
298,-667.0083405883138,92.38767904874324,69.43845546037939,30.250353441474587,22,False,,,,0,False,False,6.9839953010102445,-0.003926902434947422,0.0018532743529630776,0.0037065487059261553,0.0005906261818423887,1.7115012679006538,0.0030653648431738637,-0.005
299,-667.0084790003857,93.44123158627495,70.23103708798195,31.41158426899518,22,False,,,,0,False,False,7.092223594027484,-0.003876811852596478,0.001574381796225354,0.003148763592450708,0.0006084045074539508,1.7217715883258258,0.0020422923097724545,-0.005
300,-667.0089269363231,93.04808234327365,69.84570431908809,30.156750555977865,22,False,,,,0,False,False,6.976500936389466,-0.0037534603663476143,0.001653068156265079,0.003306136312530158,0.0006619321943777598,1.6807675452662423,0.0023338911691012263,-0.005
301,-667.010100426277,91.98546041786607,69.19370043337774,27.871638421365923,22,False,,,,0,False,False,7.154804583269997,-0.004106221605883209,0.0018155041299947967,0.0036310082599895935,0.0005043743154737873,1.8129087247362192,0.0038122638252753287,-0.005
302,-667.0116689590125,94.2201088138701,70.73704734771563,30.775311883415338,22,False,,,,0,False,False,7.026231716435598,-0.0037999166959400894,0.0016771241796600693,0.0033542483593201385,0.0005975537131875755,1.741826886075601,0.003826961234440288,-0.005
303,-667.0125148335262,95.44988716512306,71.69942531611417,31.252032795903457,22,False,,,,0,False,False,6.961751155270772,-0.0037798482601542334,0.001707595020483663,0.003415190040967326,0.0005389930473899186,1.778076093322226,0.0015955185342795015,-0.005
304,-667.0126372816551,96.08602199969526,72.20826244137899,31.72026927307678,22,False,,,,0,False,False,6.924456515586593,-0.003705327082377855,0.0018201159548747539,0.0036402319097495078,0.0005644804967026541,1.7714755795329589,0.0005310035309036253,-0.005
305,-667.0127615654113,91.17088771988779,68.60414654007626,29.604851449406173,22,False,,,,0,False,False,7.247093110223943,-0.004107143580189895,0.0014947704666410091,0.0029895409332820182,0.0005827418081459541,1.7361021156798093,0.0014239319183405267,-0.005
306,-667.0132932905076,91.67634770347412,68.99247591349179,28.15549841728904,22,False,,,,0,False,False,7.223178367454507,-0.004124566496303422,0.0016307181030741046,0.003261436206148209,0.0005267007465572214,1.7940761750816958,0.0023224186784669937,-0.005
307,-667.0136582322771,94.52497655557538,70.92646175310925,30.71327145865149,22,False,,,,0,False,False,6.971209431069815,-0.0038713738138754245,0.0019214913099326876,0.003842982619865375,0.0005307881648242616,1.7835441589629248,0.004915443156262196,-0.005
308,-667.013953182404,91.1098991975992,68.66516980210699,29.057381116743674,22,False,,,,0,False,False,6.997477757523571,-0.003818192738990412,0.0016805634943421505,0.003361126988684301,0.0007262850594224827,1.623757248763549,0.0023503934674863683,-0.005
309,-667.0140809247649,94.80367530946694,71.1224423056211,31.66105188653811,22,False,,,,0,False,False,6.9306555227197295,-0.0037785359923445724,0.0018818586863847701,0.0037637173727695403,0.0005744224548415748,1.7476271031641115,0.0026548835244379985,-0.005
310,-667.0143346958752,94.00338572689537,70.51442749431946,31.001994513349448,22,False,,,,0,False,False,6.963342337443284,-0.003849252014931339,0.001884598602478227,0.003769197204956454,0.0005614841144048801,1.7533844196892743,0.00547931332938654,-0.005
311,-667.0151830144423,90.82323819399032,68.28921492568581,27.89524700877898,22,False,,,,0,False,False,7.0292729651871255,-0.0039548692530168225,0.0018523367982271448,0.0037046735964542895,0.0006342177179341631,1.6911855016584028,0.00886928276805196,-0.005
312,-667.0155636765071,92.70514452512649,69.69962790365003,31.073377387746678,22,False,,,,0,False,False,7.042204907108308,-0.0037681653476738125,0.0014255394176829902,0.0028510788353659803,0.0007000645137111064,1.644677738603003,8.084688877059518e-05,-0.005
313,-667.0168295808098,94.01292374634203,70.65931982743146,29.54138782732372,22,False,,,,0,False,False,6.900073538667403,-0.0038550577633288193,0.0019570252807641305,0.003914050561528261,0.0005234087276474872,1.7756965766803439,0.0018203947874926793,-0.005
314,-667.0176812567697,94.00390013108,70.56598880801003,30.234456702413066,22,False,,,,0,False,False,7.001226232180457,-0.003936248701200429,0.0018831090171135647,0.0037662180342271294,0.0005067367985257284,1.7968726449849854,0.004701565394671917,-0.005
