rank,composite_score,snowline_rmse_m,area_rmse_km2,log_prob,selected,MF,MF_grad,r_snow,precip_grad,precip_corr,T0
366,0.9103223069461642,88.72792213999759,0.3741434662443449,-682.8507838671452,False,7.130079255008294,-0.0040396117465699224,0.0016383259120585697,0.000726121427089752,1.606631000632785,0.006934153539461882
367,0.9116393581293432,88.24377413662555,0.3760983913818294,-682.8473008391978,False,7.102576019143108,-0.004024465660429799,0.0016491320162026627,0.0007618275522650393,1.576710494499977,0.004688856858667205
368,0.9123681346958326,88.14302832038405,0.3765191451528943,-682.9265152670544,False,7.232062201121734,-0.004290825950308336,0.001874575548991314,0.0005789566817039605,1.7291152998744623,0.0033194678845853854
369,0.9126695982331089,88.14536806054787,0.3765191451528943,-682.8847149635201,False,7.03283159935442,-0.0038760536127232137,0.0016388541958397445,0.00087726440844131,1.5051105379597287,0.0016183651363196729
370,0.913212021264625,86.35859769473772,0.3836013555763324,-682.6321039667585,False,7.122815715578181,-0.004122205399439661,0.001966151949509598,0.000756539633156296,1.6024762464852198,0.0017012981578862713
371,0.9139504537643637,88.26171117580627,0.3760983913818294,-683.009925985037,False,7.243727818236447,-0.00416369298786516,0.0015519835095174114,0.0006919299404921004,1.63715855186699,0.008827868077718853
372,0.9150065425531204,88.51677071638926,0.3751222023110159,-682.7031230509515,False,7.2044304077112065,-0.004152966581936705,0.001731902281483998,0.0006783889886445113,1.6533002328594055,0.0005523632148718991
373,0.9150312403173055,88.76446944729966,0.3741434662443449,-683.0495724311611,False,7.170809952095854,-0.003990526822758872,0.0014494266945605664,0.0007894440362896796,1.565664018485161,0.004548376025946144
374,0.9152820058349906,88.16564366351336,0.3765191451528943,-682.8888609861834,False,7.0331102888734724,-0.003876970725149407,0.0016386942925153247,0.0008760538067877224,1.50569365410855,0.0016125869980401972
375,0.9154331733011436,88.52008191317707,0.3751222023110159,-682.7073066780606,False,7.205678739899572,-0.004152991055868848,0.0017273229805380612,0.0006788318610245827,1.6528878488742107,0.0005987426414369776
376,0.915925822026384,88.77141253824014,0.3741434662443449,-682.9843366708976,False,7.296234276789583,-0.004209311628732257,0.0014566887274875446,0.0006410005493799539,1.6748323016329203,0.005385660740182897
377,0.9173342129365679,86.39059114079407,0.3836013555763324,-682.5512578789338,False,7.121011546653039,-0.004128532775595407,0.0019359185161354623,0.0007477437675353823,1.6036372431943882,0.0021142640795791916
378,0.917370458104315,88.28825475579248,0.3760983913818294,-683.0492256732546,False,7.259105831390683,-0.004086676284134798,0.0014154667194146223,0.0007615411154559386,1.59484820605458,0.006916847824069152
379,0.917466956474158,87.00334475548266,0.3811823710509186,-682.8213700436035,False,7.294230022235435,-0.004313582826921031,0.0016896406822207706,0.000634333802814515,1.6839276660731943,0.0015871813322037292
380,0.9179051116127903,88.78677434080832,0.3741434662443449,-682.6039880867238,False,7.105018232059354,-0.004037830381614534,0.0016950941481860186,0.000720249151031169,1.6078319851571108,0.00032007118954970043
381,0.918773547745007,88.29914451451894,0.3760983913818294,-683.0196487031529,False,7.260820104759319,-0.004062911918333546,0.0012375205562967198,0.0007748905209132189,1.5723724657620308,0.003926217646426065
382,0.919438369882958,88.30430437919782,0.3760983913818294,-682.9537562300206,False,7.201845370161491,-0.00414866303204524,0.0016908379409437597,0.0006813078980536402,1.6489032642639305,0.009766550318926308
383,0.9195914183946039,88.3054922301497,0.3760983913818294,-682.5914190594048,False,6.9511839208833806,-0.0038834255835699457,0.0019711094733656192,0.0008216668507265098,1.546913745652566,0.004526895588373095
384,0.9200021451761282,86.92908218327868,0.3815538406743319,-682.6973197628764,False,7.162042131987959,-0.004088607200234287,0.0017464819457746318,0.0007958767187098052,1.5705616035937346,0.003037580047523956
385,0.9205045341153438,88.80694916290093,0.3741434662443449,-682.8585918374995,False,6.995228149712534,-0.00396569238499338,0.001928296440748379,0.0007384434394909499,1.5953605226116911,0.008125320089051726
386,0.9215993406670759,87.03541730845492,0.3811823710509186,-682.8048373550728,False,7.294508350550716,-0.004313808475220877,0.001691435170883544,0.0006321412119947767,1.685823564828259,0.0015510700794659545
387,0.9240606761830429,88.34017935033859,0.3760983913818294,-682.9679913153722,False,7.367506945360549,-0.004150896331788042,0.001186430308734523,0.0007417141661994031,1.6103973347892009,0.0020023394772007634
388,0.9242768402701032,88.34185705836603,0.3760983913818294,-682.983846800368,False,7.370074328813454,-0.004152369319894917,0.0011888761737459843,0.0007407973670699704,1.612098886089006,0.001995012467655927
389,0.9247112675087971,88.3452287658296,0.3760983913818294,-682.9026890820212,False,7.239177681618623,-0.004107101521583874,0.001474741374024319,0.0007304331941354311,1.6117206067425178,0.007084328711311113
390,0.9278642179383283,88.36969966808583,0.3760983913818294,-683.065781564164,False,7.330689817605609,-0.004179623658800412,0.001406854684747185,0.0006998051065777282,1.6457680131575736,0.004472912793448199
391,0.9287961542043062,88.37693267785984,0.3760983913818294,-682.838340037619,False,7.185250937820736,-0.0039963305044732654,0.0013786470403992755,0.000805523293600619,1.5536237571143257,0.002361882563808948
392,0.9300698233020828,87.10115901840472,0.3811823710509186,-682.6947103236996,False,7.068139870132977,-0.00405859538576726,0.0018768279875380689,0.0007704887789229559,1.5766252114001595,0.004487245739604689
393,0.9303328348389456,88.38885927247328,0.3760983913818294,-682.9834305077254,False,7.237603387305015,-0.004158720255930714,0.0015562681688653806,0.0006851655474751081,1.6414522046143338,0.008577956151434148
394,0.9303837802053351,88.88362466758666,0.3741434662443449,-682.521211737983,False,7.074621477361346,-0.004004908791281373,0.0017249565950816135,0.0007234536631511472,1.6066694976238718,0.0011422098682879814
395,0.93058778375063,88.8852079943558,0.3741434662443449,-682.5344533369889,False,7.0813691521946005,-0.0040107468053471465,0.0017140098768614097,0.0007222979512592116,1.6075066614402025,0.0011646636873277583
396,0.9307749462553538,88.88666061324768,0.3741434662443449,-682.7572140961496,False,7.087379284046825,-0.0040100223114543886,0.0016863158455735156,0.0007280455458743315,1.6019069467677975,0.003846784386441489
397,0.9321709111743752,88.29672303219097,0.3765191451528943,-682.62427264438,False,7.032331921190944,-0.004017641486217845,0.001960305707069592,0.0007343822800039207,1.6042783660443456,0.007353703133787012
398,0.9328661166424835,88.50382359266821,0.3757215280851849,-682.7920928943929,False,7.151036644431059,-0.00411239633521553,0.0016264206632295333,0.0006801820230181893,1.633515820758029,0.0011354287061398575
399,0.9335386669020395,88.90811059773685,0.3741434662443449,-682.4125326854855,False,7.113075252119756,-0.004061635424032134,0.0017898968712424443,0.0006895745945017932,1.6402555016582134,0.001895060187732815
400,0.9369719915116317,88.81654853269828,0.3746109092556349,-682.9223097264612,False,7.071231130510422,-0.003954783454686351,0.001679315111490705,0.0007792691648111598,1.569133543297013,0.004498044127413641
401,0.9379467571883602,87.16229403575369,0.3811823710509186,-683.0235919404006,False,7.244337611243521,-0.0042551604969266665,0.0016420165251748954,0.0006524122816316499,1.6603485742428408,0.0022009572426967545
402,0.9383526175933272,88.45110297857805,0.3760983913818294,-682.8838054070504,False,7.258621038510245,-0.0040506621081571855,0.0012572206871579302,0.0007795330140214494,1.5728124207123384,0.002409653544756587
403,0.9390496804453266,87.17085412187637,0.3811823710509186,-682.8549625079553,False,7.135721228393943,-0.004048422095743929,0.0017424184111198328,0.0008011946672389361,1.567823305822304,0.004755260699242412
404,0.9397497689621077,88.46194664876784,0.3760983913818294,-682.9957977081597,False,7.372681849353503,-0.004171090358561315,0.0012420689463823013,0.0007125855005811828,1.6352458516639696,0.0023411961088778198
405,0.9405880546867424,88.36205076276312,0.3765191451528943,-683.0488415522948,False,7.348374752514799,-0.004303093236156807,0.0015563232884733928,0.0006023061947191521,1.7161672711465892,0.0031039066186075532
406,0.9417746332212757,88.58418338617845,0.3756771663720506,-682.9244094103443,False,7.150905698076754,-0.004109304217375209,0.0018983323629535725,0.0006840714863171511,1.6581810509871677,0.002258158319720506
